,Fold,Lambda Value,Test Accuracy,Training Accuracy,Test Error,Train Error
0,1,0.0001,73.20261437908496,79.51219512195122,0.1773906662268059,0.1773906662268059
1,2,0.0001,79.08496732026144,77.88617886178861,0.15153232000596908,0.15153232000596908
2,3,0.0001,83.00653594771242,77.07317073170732,0.13357394205993223,0.13357394205993223
3,4,0.0001,78.43137254901961,77.88617886178861,0.14932651271748115,0.14932651271748115
4,5,0.0001,73.20261437908496,79.34959349593495,0.1747546453311994,0.1747546453311994
